idx,query,task,condition,prompt_tokens,response_chars,has_citation_marker,has_confidence_marker,article_refs_count,issues,error,response_preview
0,檢查這份租約：「承租人不得將房屋轉租他人，違約可終止租約」，有沒有漏保護房東的條款？,QC,A_with_citation,6671,0,False,False,0,空回應,,
0,檢查這份租約：「承租人不得將房屋轉租他人，違約可終止租約」，有沒有漏保護房東的條款？,QC,B_no_citation,5501,0,False,False,0,空回應,,
1,幫我審查這條競業禁止條款是否有效：『離職後三年內不得從事相關行業』,QC,A_with_citation,6671,0,False,False,0,空回應,,
1,幫我審查這條競業禁止條款是否有效：『離職後三年內不得從事相關行業』,QC,B_no_citation,5501,0,False,False,0,空回應,,
2,這份保密合約只寫了『不得洩漏機密資訊』，有沒有漏洞？,QC,A_with_citation,6671,0,False,False,0,空回應,,
2,這份保密合約只寫了『不得洩漏機密資訊』，有沒有漏洞？,QC,B_no_citation,5501,0,False,False,0,空回應,,
3,檢查這個網站的定型化契約：『本公司保留最終解釋權』，是否違反消保法？,QC,A_with_citation,6671,0,False,False,0,空回應,,
3,檢查這個網站的定型化契約：『本公司保留最終解釋權』，是否違反消保法？,QC,B_no_citation,5501,0,False,False,0,空回應,,
4,幫我確認這份合約的管轄法院條款是否對我方有利,QC,A_with_citation,6671,0,False,False,0,空回應,,
4,幫我確認這份合約的管轄法院條款是否對我方有利,QC,B_no_citation,5501,0,False,False,0,空回應,,
5,查台灣目前的 deepfake 相關立法進度,RESEARCH,A_with_citation,7442,0,False,False,0,空回應,,
5,查台灣目前的 deepfake 相關立法進度,RESEARCH,B_no_citation,6271,0,False,False,0,空回應,,
6,公然侮辱罪和誹謗罪的差異在哪裡？,RESEARCH,A_with_citation,7442,0,False,False,0,空回應,,
6,公然侮辱罪和誹謗罪的差異在哪裡？,RESEARCH,B_no_citation,6271,0,False,False,0,空回應,,
7,台灣對於加密貨幣的法規監管架構為何？,RESEARCH,A_with_citation,7442,0,False,False,0,空回應,,
7,台灣對於加密貨幣的法規監管架構為何？,RESEARCH,B_no_citation,6271,0,False,False,0,空回應,,
8,請查閱勞動基準法第 84 條之 1 的適用範圍與最新實務見解,RESEARCH,A_with_citation,7442,0,False,False,0,空回應,,
8,請查閱勞動基準法第 84 條之 1 的適用範圍與最新實務見解,RESEARCH,B_no_citation,6271,0,False,False,0,空回應,,
9,什麼是『從舊從輕原則』？哪些法律領域適用？,RESEARCH,A_with_citation,7442,0,False,False,0,空回應,,
9,什麼是『從舊從輕原則』？哪些法律領域適用？,RESEARCH,B_no_citation,6271,0,False,False,0,空回應,,
10,幫我把這三年關於人工智慧基本法的提案整理成報告,REPORT,A_with_citation,7525,0,False,False,0,空回應,,
10,幫我把這三年關於人工智慧基本法的提案整理成報告,REPORT,B_no_citation,6355,0,False,False,0,空回應,,
11,整理最近一個月與毒品危害防制條例相關的修法動態,REPORT,A_with_citation,7525,0,False,False,0,空回應,,
